EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,EMG_8,Gyro_1,Gyro_2,Gyro_3,Accel_1,Accel_2,Accel_3,Word_Signed
5,6,22,9,4,6,8,4,9,8,7,5.37,1.89,43.4,h
5,7,19,9,4,10,13,5,9,8,7,4.75,0.859,42.8,h
5,4,20,9,4,10,14,5,9,8,7,5.98,-1.27,39.1,h
6,4,20,8,4,10,18,5,9,8,7,4.98,-0.0391,38.4,h
5,3,19,5,3,16,28,5,9,8,7,6.15,-2.77,42.4,h
4,3,15,5,2,16,31,5,9,8,7,6.21,4.2,43.3,h
4,2,15,4,2,16,31,4,9,8,7,6.74,1.84,42.1,h
3,2,12,3,1,15,26,7,9,8,7,6.25,1.19,40.9,h
3,1,10,3,1,15,29,7,9,8,7,6.84,0.84,41,h
0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPACE
3,3,3,3,3,3,3,3,8,7,7,8.57,-6.09,41.2,h
3,3,3,3,3,3,3,3,8,7,7,8.14,-5.55,41.2,h
3,3,3,3,3,3,3,3,8,7,7,8.5,-5.64,40.9,h
3,3,3,3,3,3,3,3,8,7,7,8.52,-5.86,40.9,h
1,2,1,1,1,1,3,3,8,7,7,8.14,-6.5,40.9,h
1,2,1,1,1,1,4,2,8,7,7,8.38,-6.37,40.8,h
1,1,1,1,1,1,4,2,8,7,7,8.13,-6.27,40.7,h
2,1,1,1,1,1,3,2,8,7,7,8.4,-6.19,41.5,h
1,1,6,3,1,1,3,1,8,7,7,8.71,-4.39,42.3,h
1,1,8,3,1,2,3,1,8,7,7,9.47,-8.18,41.2,h
1,1,9,3,1,4,4,2,8,7,7,8.18,-5.29,39.6,h
1,1,10,3,1,4,3,2,8,7,7,9.43,-6.21,39.5,h
1,1,10,3,1,4,4,1,8,7,7,8.73,-6.33,40.1,h
1,1,17,4,1,4,3,1,8,7,7,8.42,-2.97,41.7,h
1,2,18,4,1,3,3,2,8,7,7,8.98,-3.05,41.3,h
0,2,20,5,1,4,4,1,8,7,7,8.38,-3.81,43.3,h
2,3,16,4,1,4,4,3,8,7,7,7.89,-5,44.1,h
2,3,17,4,2,4,3,3,8,7,7,10.2,-6.29,43.5,h
2,4,18,4,2,2,3,2,8,7,7,9.9,-7.71,44.2,h
3,4,22,4,3,2,3,2,8,7,7,8.11,-7.11,46.7,h
3,4,25,5,3,2,2,2,8,8,7,6.29,-5.92,48.6,h
3,4,18,4,3,3,2,2,8,8,7,4.51,-3.59,48.2,h
3,4,22,5,3,3,2,3,8,8,7,3.38,-5.04,47.1,h
3,4,21,5,3,3,2,3,8,9,7,0.566,-3.11,45.1,h
1,4,22,5,3,3,1,2,8,9,7,-2.07,-1.84,43.5,h
1,4,22,5,2,4,2,2,9,10,7,-3.96,-2.93,42.6,h
1,3,21,5,1,3,1,2,9,10,7,-3.96,-2.93,42.6,h
1,4,19,6,1,3,1,3,9,10,7,-3.96,-2.93,42.6,h
1,4,17,6,1,2,1,3,9,10,7,-3.96,-2.93,42.6,h
1,4,20,7,2,2,1,2,9,10,7,-3.96,-2.93,42.6,h
1,5,15,9,2,2,1,5,9,10,7,-3.96,-2.93,42.6,h
1,5,23,8,2,1,1,7,9,10,7,-3.96,-2.93,42.6,h
1,4,25,7,2,1,1,8,9,10,7,-3.96,-2.93,42.6,h
1,4,23,8,2,0,2,7,10,12,9,-17.5,12.1,29,h
1,5,25,9,3,1,3,7,10,12,9,-17.6,15.5,27.3,h
2,5,25,8,4,2,4,7,10,12,10,-18.1,20,25.5,h
2,6,37,11,6,4,6,8,10,12,10,-20.9,20.8,27,h
2,5,35,11,6,5,7,9,10,12,10,-23,28.2,19.7,h
2,5,38,10,7,6,8,5,10,12,10,-17.5,19.2,28.7,h
2,5,30,11,7,6,7,5,10,12,10,-22.1,19.8,30.7,h
2,5,28,11,8,6,7,4,10,12,10,-22.2,19.2,30,h
2,5,28,10,7,7,6,5,10,12,10,-22.3,20.3,31,h
2,4,29,12,8,6,6,5,10,12,10,-21,19.4,30.6,h
2,5,30,13,6,5,5,5,10,12,10,-20.6,19.7,30.5,h
2,3,18,10,4,3,3,4,10,12,10,-19.9,19.4,30.1,h
2,3,20,9,3,3,2,4,10,12,10,-20.1,18.8,30.2,h
2,3,19,8,3,2,1,5,10,12,10,-20.8,19.5,30.1,h
3,5,20,6,3,2,1,4,10,12,10,-19.7,18.9,31.3,h
3,5,19,7,3,1,1,4,10,12,10,-21.3,20,31.2,h
3,6,23,8,3,1,1,4,10,12,10,-21.2,19.9,29.1,h
2,6,26,6,2,1,1,4,10,12,10,-21.2,20.7,29.2,h
2,6,24,4,2,1,1,4,10,12,10,-22.3,24,28.3,h
2,6,26,4,2,1,1,4,10,12,10,-22.8,22.5,27.5,h
2,6,23,5,3,1,1,3,10,12,9,-24.5,25.1,27.9,h
4,6,20,4,3,1,1,3,10,12,9,-25.3,23.3,28.1,h
4,5,22,4,2,1,1,3,10,12,9,-26,20.6,27.8,h
4,5,23,3,2,1,1,3,10,12,9,-26.5,20.6,28,h
4,4,18,2,2,1,1,3,10,12,9,-26.8,18.9,28.4,h
4,6,11,3,1,1,1,2,10,12,8,-26.4,16,28.4,h
6,7,10,3,1,1,1,5,10,12,8,-25.5,13.8,28.9,h
8,9,9,4,1,1,1,8,10,12,8,-25.5,13.8,28.9,h
8,9,10,3,1,1,1,8,10,12,7,-24.2,9.98,29.4,h
10,14,14,3,1,1,1,8,9,12,7,-23.8,9.24,29.9,h
10,16,12,3,1,1,0,9,9,12,6,-23.6,9.51,31.2,h
11,18,12,4,1,1,0,10,9,12,6,-23.9,8.5,32,h
10,18,16,4,1,1,0,10,9,12,6,-20.4,6.13,33.7,h
12,18,15,6,2,2,1,10,9,11,6,-20.2,5.92,35.2,h
10,21,18,7,2,2,1,9,9,11,5,-17.7,5.59,36.2,h
8,20,20,7,3,1,2,6,9,11,5,-17.2,1.35,36.3,h
9,20,25,8,3,1,2,6,9,11,5,-15.5,2.91,36.9,h
6,17,35,9,3,1,2,6,9,11,5,-14.7,4.94,38,h
7,15,35,9,3,1,2,7,9,11,5,-14.6,4.04,38.6,h
6,14,46,9,3,1,2,8,9,11,5,-16.7,2.97,39.8,h
6,13,41,9,3,1,2,9,9,11,5,-16.9,4.34,40.7,h
5,11,43,6,2,1,2,9,9,11,5,-16.2,4.65,38.9,h
4,7,41,5,2,1,2,9,9,11,5,-16.8,4.77,38.9,h
4,7,39,5,1,1,1,8,9,11,5,-17.2,6.02,38.9,h
5,8,37,5,2,1,1,8,9,11,5,-16.9,4.69,37,h
5,6,28,4,2,1,1,8,9,11,5,-17.2,6.41,36.7,h
4,7,28,3,1,1,1,7,9,11,5,-17,6.07,36.2,h
3,7,25,3,1,1,1,5,9,11,5,-16.4,5.41,36,h
3,7,27,4,1,1,1,4,9,11,5,-16.6,7.23,35.9,h
3,7,31,5,1,1,1,3,9,11,6,-15.3,7.56,34.6,h
4,9,29,6,2,1,1,2,9,11,6,-14.9,6.5,33.5,h
4,8,29,6,2,1,1,2,9,11,6,-13.9,7.73,33.1,h
3,10,26,5,1,1,1,1,9,11,6,-15.2,6.46,33.9,h
2,11,22,7,2,1,1,1,9,11,6,-15.4,9.51,33.8,h
3,12,21,7,2,1,1,1,9,11,6,-14.5,10.1,34.9,h
3,10,12,7,2,1,1,1,9,10,7,-13.3,11.9,34.9,h
2,10,10,6,3,1,1,2,9,10,7,-11.2,11.9,34.5,h
2,10,9,5,2,1,2,2,9,10,7,-12,13.2,35.8,h
2,8,9,7,3,1,2,4,9,10,7,-7.93,13.5,38.8,h
2,9,9,7,3,1,2,4,9,9,7,-9.04,10.8,40.9,h
2,6,12,8,3,1,2,6,9,9,7,-3.44,12.1,44.1,h
3,6,13,7,2,1,2,6,9,8,7,-1.56,12.1,41.5,h
3,3,14,9,2,1,2,6,9,8,8,3.03,11.1,43.3,h
4,3,21,8,2,1,3,6,9,8,8,5.72,9.65,41.5,h
4,4,25,10,2,2,3,6,9,7,8,9.9,8.16,40.4,h
4,4,21,10,3,2,2,7,9,7,8,12.4,6.54,40.6,h
5,4,23,8,3,3,5,5,9,7,8,14.2,7.17,44,h
0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPACE
3,3,3,3,3,3,3,3,8,8,8,6.72,-4.67,41.6,h
3,3,3,3,3,3,3,3,8,8,8,6.43,-4.57,41.6,h
3,3,3,3,3,3,3,3,8,8,8,6.52,-4.8,41.8,h
3,3,3,3,3,3,3,3,8,8,8,6.56,-4.65,41.6,h
3,1,1,0,1,2,4,1,8,8,8,6.35,-4.38,41.4,h
3,1,1,0,0,2,4,1,8,8,8,6.6,-5.14,41.9,h
2,1,1,1,1,2,4,1,8,8,8,6.7,-4.3,42.3,h
3,1,2,1,1,2,4,1,8,8,8,6.89,-3.65,41.9,h
2,1,3,1,1,2,4,1,8,8,8,5.76,0.0977,43.7,h
3,2,4,1,1,3,4,1,8,7,8,8.5,-4.2,47.1,h
3,2,7,1,2,4,4,1,8,7,8,13.4,-9.34,48.9,h
3,2,7,2,3,3,3,1,8,8,8,7.99,-9.1,50.6,h
3,2,9,3,3,3,4,1,8,8,8,2.99,-11.7,53,h
3,2,11,6,4,3,3,2,8,8,8,-3.59,-1.43,50.4,h
3,2,11,8,5,3,4,3,8,9,8,-3.36,-4.82,45,h
3,2,11,9,4,3,4,3,9,9,8,-2.79,-2.32,42.1,h
3,3,11,9,4,3,3,3,9,10,8,-6.15,1.62,35.5,h
2,2,10,9,4,2,3,3,9,11,9,-9.24,4.14,33.5,h
1,2,7,9,4,1,3,4,9,11,9,-10.8,6.45,32.1,h
2,3,7,8,3,1,3,5,9,11,9,-12.9,8.59,31.5,h
1,4,6,8,3,1,2,5,9,11,9,-14.6,12.8,32.2,h
1,4,9,5,2,1,2,4,10,12,9,-15.6,11,30.9,h
1,4,10,5,3,1,1,3,10,12,9,-16.9,13.5,31,h
1,4,12,6,3,1,1,4,10,12,10,-18.5,15.2,29.7,h
2,4,13,7,3,1,1,4,10,12,10,-21.2,16.8,28.8,h
2,4,16,8,3,1,1,4,10,12,10,-22.6,17.9,28.4,h
2,4,18,8,3,1,1,3,10,12,10,-23,18,29.3,h
1,3,21,9,3,1,1,2,10,12,10,-23.6,16.5,30.1,h
1,2,22,10,5,1,1,2,10,12,10,-22.6,21.4,28.4,h
1,2,20,10,6,1,1,2,10,12,10,-23.2,21.3,29.5,h
1,3,27,8,5,1,1,2,10,12,10,-22,16.9,29.9,h
1,3,28,8,5,3,2,2,10,12,10,-22.7,17.2,29.5,h
1,3,31,8,5,3,2,2,10,12,10,-22.4,18.1,29.7,h
2,3,28,8,5,3,2,2,10,12,10,-21.2,18.1,29.9,h
1,3,26,7,5,3,2,3,10,12,10,-20.9,17.5,30.2,h
2,3,24,6,5,3,1,3,10,12,10,-22.1,17.7,30.1,h
4,5,29,6,3,3,2,3,10,12,10,-21.9,19.6,29.8,h
5,7,26,6,2,3,3,3,10,12,10,-22.8,19.2,29.6,h
5,7,19,5,2,2,3,3,10,12,10,-21.8,19.6,29.4,h
7,7,21,5,1,1,2,3,10,12,10,-23.9,22.1,29,h
8,8,19,5,1,1,3,2,10,12,10,-23.8,20.5,30.4,h
8,9,18,5,1,1,3,2,10,12,10,-24.7,21.5,30.1,h
8,9,21,5,1,1,3,1,10,12,9,-25.5,19.3,30,h
10,10,25,5,1,1,3,1,10,12,9,-25.6,18.6,29.8,h
8,11,27,5,1,1,3,2,10,12,9,-25.4,18.4,29.5,h
7,10,28,4,1,1,2,2,10,12,9,-24.8,14.1,28.9,h
7,10,31,4,1,1,2,2,10,12,8,-24.8,14.6,29.2,h
6,12,27,4,1,1,2,2,10,12,8,-24.8,14.6,29.2,h
6,11,26,5,1,1,1,3,10,12,8,-24.8,14.6,29.2,h
6,11,33,4,1,1,1,3,10,12,8,-24.8,14.6,29.2,h
6,13,32,5,1,1,1,4,10,12,8,-24.8,14.6,29.2,h
4,14,27,5,1,1,1,4,10,12,8,-24.8,14.6,29.2,h
6,18,22,5,1,1,1,4,10,12,8,-24.8,14.6,29.2,h
5,17,21,5,1,1,1,4,9,12,6,-22.4,1.04,34.7,h
5,17,23,5,2,1,1,4,9,11,6,-17.7,-0.703,35.6,h
6,16,26,4,2,1,2,5,9,11,6,-15,2.19,35.2,h
5,20,24,3,2,1,2,4,8,11,5,-14.8,-2.95,36.7,h
5,19,23,4,2,2,1,4,8,11,5,-13.9,-0.918,37.4,h
5,20,27,4,2,1,2,4,8,11,5,-13.9,-0.918,37.4,h
5,19,28,4,2,1,1,4,8,11,5,-13.9,-0.918,37.4,h
3,16,27,4,2,1,1,3,8,11,5,-13.9,-0.918,37.4,h
2,15,27,3,2,1,1,3,8,11,5,-13.9,-0.918,37.4,h
3,14,25,4,2,1,1,3,8,11,5,-13.9,-0.918,37.4,h
2,16,23,5,2,1,1,2,8,11,5,-13.9,-0.918,37.4,h
2,12,24,5,2,1,1,2,8,11,5,-13.9,-0.918,37.4,h
2,12,20,5,2,1,1,2,8,11,5,-13.9,-0.918,37.4,h
2,11,22,7,3,1,1,2,8,11,5,-13.9,-0.918,37.4,h
2,10,19,7,2,2,1,2,8,11,5,-13.9,-0.918,37.4,h
3,7,19,7,2,2,1,3,8,11,5,-13.9,-0.918,37.4,h
3,7,23,8,2,2,1,3,8,11,5,-13.9,-0.918,37.4,h
3,7,21,8,2,1,1,3,8,11,5,-13.9,-0.918,37.4,h
2,6,32,10,2,2,1,3,8,11,5,-13.9,-0.918,37.4,h
2,5,31,10,2,2,1,4,8,11,5,-13.9,-0.918,37.4,h
2,6,36,9,1,2,1,4,8,11,5,-13.9,-0.918,37.4,h
3,7,42,8,2,2,1,4,8,11,5,-13.9,-0.918,37.4,h
2,8,44,10,2,2,1,4,8,11,5,-13.9,-0.918,37.4,h
2,8,47,11,2,2,1,4,8,11,5,-13.9,-0.918,37.4,h
2,8,44,10,3,4,2,4,8,11,5,-13.9,-0.918,37.4,h
2,8,43,10,3,5,2,4,8,11,5,-13.9,-0.918,37.4,h
2,7,36,10,3,4,2,4,8,11,5,-13.9,-0.918,37.4,h
2,7,37,12,4,4,2,4,8,11,5,-13.9,-0.918,37.4,h
2,6,32,12,4,5,4,4,8,11,5,-13.9,-0.918,37.4,h
1,5,21,12,4,5,4,6,8,11,5,-13.9,-0.918,37.4,h
2,5,23,10,4,7,5,6,8,11,5,-13.9,-0.918,37.4,h
5,5,19,10,4,6,16,7,8,11,5,-13.9,-0.918,37.4,h
5,5,19,10,3,4,17,8,8,11,5,-13.9,-0.918,37.4,h
5,6,20,10,2,4,19,9,8,11,5,-13.9,-0.918,37.4,h
6,5,15,7,2,5,23,9,8,11,5,-13.9,-0.918,37.4,h
6,5,15,6,2,6,25,9,8,11,5,-13.9,-0.918,37.4,h
6,5,15,5,2,6,25,11,8,11,5,-13.9,-0.918,37.4,h
6,5,17,4,2,6,24,9,8,11,5,-13.9,-0.918,37.4,h
5,3,14,4,2,4,25,9,8,11,5,-13.9,-0.918,37.4,h
3,2,14,3,1,4,16,7,8,11,5,-13.9,-0.918,37.4,h
2,3,15,3,1,5,17,7,8,11,5,-13.9,-0.918,37.4,h
2,2,15,2,1,5,17,6,8,11,5,-13.9,-0.918,37.4,h
2,3,13,2,1,4,13,7,8,11,5,-13.9,-0.918,37.4,h
2,2,12,1,1,2,11,6,8,11,5,-13.9,-0.918,37.4,h
3,2,12,1,1,3,10,5,8,11,5,-13.9,-0.918,37.4,h
3,2,7,1,1,4,14,5,8,11,5,-13.9,-0.918,37.4,h
3,2,9,1,1,4,12,8,8,11,5,-13.9,-0.918,37.4,h
0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPACE
3,3,3,3,3,3,3,3,8,8,8,6.52,-2.79,41.7,h
3,3,3,3,3,3,3,3,8,8,8,6.13,-2.62,41.9,h
3,3,3,3,3,3,3,3,8,8,8,6.39,-2.89,42.4,h
3,3,3,3,3,3,3,3,8,8,8,6.56,-2.87,41.4,h
3,1,2,1,1,2,4,4,8,8,8,6.62,-2.58,41.7,h
3,1,2,1,1,2,4,4,8,8,8,6.54,-3.42,42.1,h
2,1,1,1,1,3,4,3,8,8,8,6.72,-2.95,41.7,h
2,1,2,1,1,2,6,3,8,8,8,6.91,-1.7,42.3,h
1,1,2,1,1,2,7,2,8,8,8,7.44,-2.09,42.9,h
1,2,2,1,1,2,6,2,8,7,7,7.03,0.488,43.7,h
1,2,4,2,1,2,6,2,8,7,7,7.48,0.82,43.1,h
2,3,5,4,1,2,6,2,8,7,7,7.97,-2.6,40.5,h
2,3,5,5,2,1,5,2,8,7,7,9.24,-2.48,39.2,h
2,4,9,5,2,2,5,2,8,7,7,9.98,-2.97,38.2,h
2,5,11,6,3,1,4,2,8,7,7,9.06,-0.273,39.6,h
3,6,11,7,4,2,2,2,8,7,7,10.3,-1.11,40.9,h
3,6,10,8,4,2,2,2,8,7,7,10.7,-2.68,42.4,h
2,6,11,7,4,2,1,2,8,7,7,9.51,-3.05,47.7,h
3,6,12,7,3,3,1,2,8,8,7,6.88,0.332,48.5,h
2,6,12,4,4,3,1,2,8,8,7,7.5,-3.3,48.5,h
2,5,14,6,3,3,3,2,9,8,7,4.86,1.07,48.6,h
3,8,12,8,3,2,3,2,9,8,8,2.17,-1.13,46.8,h
3,8,11,7,2,2,3,2,9,9,8,-0.938,0.938,45.8,h
3,7,11,6,2,2,3,3,9,9,8,-2.46,3.2,44,h
3,7,12,6,4,4,3,4,9,10,8,-7.03,6.15,37.9,h
3,7,13,8,5,4,3,5,9,10,8,-8.57,4.67,36.1,h
3,7,12,8,5,3,3,5,9,11,8,-12.1,7.75,34.2,h
4,7,15,8,5,3,3,7,9,11,9,-14.3,10.8,32.2,h
4,7,15,6,6,4,2,6,10,11,9,-16.6,12,30.4,h
3,5,13,5,6,4,1,6,10,11,9,-17.9,13.9,30.8,h
3,5,18,5,6,4,1,6,10,12,9,-16.6,14.1,28.6,h
3,5,21,6,6,3,1,6,10,12,10,-19.5,17.8,26.4,h
3,6,23,6,4,2,1,5,10,12,10,-20.1,19.8,26.4,h
3,7,25,4,3,2,1,4,10,12,10,-20.8,21.4,27.1,h
2,7,27,4,3,2,1,4,10,12,10,-20,23.4,26.2,h
2,7,23,6,3,2,1,2,10,12,10,-19.7,21.4,28,h
3,7,24,7,2,2,2,2,10,12,10,-19.3,24,27.1,h
2,6,24,6,2,2,2,4,10,12,10,-18.3,19.1,28.5,h
2,8,24,8,2,1,2,3,10,12,10,-21.5,20.9,28.8,h
2,8,25,7,3,2,2,3,10,12,10,-21.5,22.8,27.6,h
2,6,30,8,3,1,2,3,10,12,10,-21.8,21.6,28.8,h
2,5,29,9,3,1,2,3,10,12,10,-21,22.7,29.5,h
3,4,26,9,3,1,1,4,10,12,10,-20.2,21.3,28.6,h
3,4,27,9,3,1,2,4,10,12,10,-21.1,21.3,28.5,h
3,4,30,9,4,1,1,4,10,12,10,-21.2,21.7,28.7,h
3,3,34,9,3,1,1,2,10,12,10,-22.6,23.9,27.7,h
3,2,30,7,2,1,1,3,10,12,10,-23.2,22.9,26.7,h
5,5,28,8,2,1,2,3,10,12,10,-24.6,23.8,26.9,h
5,5,22,6,2,1,2,3,10,12,10,-23.7,22.9,27.4,h
6,5,20,6,1,0,2,3,10,12,9,-25.4,21.9,26.7,h
6,7,22,5,1,0,2,3,10,12,9,-25,20.7,26.8,h
6,7,24,4,1,0,2,4,10,12,9,-25.8,20.6,26.9,h
6,8,19,3,1,1,2,4,10,12,9,-26.6,18.5,26.7,h
8,11,18,4,1,1,2,4,10,12,8,-25.5,15.2,27.5,h
7,12,19,3,1,1,2,5,10,12,8,-25.4,11.2,28.9,h
6,9,17,3,1,1,1,4,10,12,8,-25.7,12.1,29.5,h
9,9,17,3,1,1,1,6,10,12,8,-24.7,9.43,30.7,h
8,10,19,4,1,1,2,6,9,12,7,-25,9,31.3,h
8,11,20,4,1,1,3,5,9,12,7,-24.7,6,32.3,h
9,13,17,4,1,1,3,8,9,12,7,-24.3,5.12,32.6,h
10,14,23,5,1,1,3,9,9,12,6,-23.3,6,34.6,h
9,13,25,6,1,1,3,9,9,12,6,-21,5.53,35.8,h
10,12,26,8,2,1,3,9,9,11,6,-19.1,1.91,35.7,h
8,13,25,8,1,1,2,9,9,11,6,-18,1.89,36,h
7,15,37,13,2,2,3,9,9,11,6,-16,1.72,37,h
7,14,35,14,2,2,3,10,9,11,6,-16.5,1.52,37.2,h
6,17,36,14,2,1,2,10,9,11,5,-14.1,0.898,38.1,h
6,15,35,14,2,1,2,7,9,11,5,-14.1,-0.195,38.5,h
4,14,32,13,2,1,2,5,9,11,5,-15.4,-1.17,39.9,h
5,16,33,11,2,1,2,5,9,11,5,-15.6,-1.66,40.3,h
4,16,34,11,2,1,2,5,9,11,5,-16,-0.898,40.1,h
4,15,34,10,2,1,2,5,9,11,5,-16.4,0.234,40.2,h
4,16,33,5,1,1,1,3,9,11,5,-16,0.273,38.9,h
